Name,URL,Price,Revenue,Income,Type,Status,Description_x,Location,Region,Description_y,SDE,Multiple,Currency,EBITDA
Multi-Location Rheumatology Practice – Physician Staying On,https://businessexits.com/listing/thriving_multi_location_rheumatology_practice/,10500000.0,15057373.0,1831385.0,Service,,,,all,"Founded in 2018, this rheumatology practice has experienced rapid expansion across Indiana, growing from a single office to seven locations with seven providers serving nearly 15,000 patients, with an eighth facility in development. The practice fills a critical need as the only rheumatology provider in these cities, addressing a significant regional shortage of specialists. Revenue comes from standard patient visits ($100-$150 per consultation) and specialized services like biologic infusions (over $3,000 per treatment).
The practice’s continued expansion is primarily fueled by a robust network of referrals from primary care physicians and medical specialists throughout the region. The owner is happy to stay on working part-time with patients and keeping his license in place, enabling the buyer to focus on growing the clinic count across a larger region without getting bogged down in the day-to-day medical side of the practice.",,5.7x,USD,"$1,831,385"
Thriving Texas HVAC Company Specializing in Residential New Construction,https://businessexits.com/listing/texas_hvac_rnc/,10000000.0,21986180.0,2284289.0,Service,Sale Pending,,,all,"A remotely owned decade-old HVAC company with three locations throughout Texas is for sale. They specialize in high-volume new residential construction HVAC installations for various developers in addition to a small number of other more traditional residential and commercial HVAC services.
The company maintains multiple well-managed warehouses, which allow them to efficiently complete approximately 3,000 installations annually. This high volume of product secures significant cost savings on equipment, which has allowed the owners to begin offering residential services at super competitive prices while achieving impressive profit margins. This addition of residential services has just started representing a large opportunity moving forward.
The current owners work remotely and have a management team that handles the business’s day-to-day operations even as the company continues to grow and expand into new areas.","$2,284,289",4.9x,USD,
"IT Services Business: Growing, Remote, with a Potential CEO in Place",https://businessexits.com/listing/erp_service_business/,10000000.0,4649351.0,2553481.0,Software/SaaS,Sale Pending,,,all,"Established in 2018, the business is a fully remote IT solutions company specializing in services ranging from ERP implementation to Microsoft 365 support. These services are customized to address the distinct challenges of public sector entities, with clients being municipalities (local governments). There is an internal employee who could potentially be promoted to CEO. The owner feels that a buyer does not necessarily have to have an IT background to buy and operate this business.
The business has achieved impressive YoY growth due to its team expansion through in-house training and the diversification of its service offerings during COVID-19. This shift has enabled the company to operate as a comprehensive one-stop shop for clients to do implementations or ongoing service.
A single client accounts for around 60% of the revenue, but the company has a robust pipeline of booked work and upcoming new clients. Additionally, it has a team of 30 skilled employees. The owner is excited about exploring new ventures, and although they prefer to exit, they are open to retaining a small portion of equity.
","$2,553,481",3.9x,USD,
Cell Phone Tower Installation & Repair,https://businessexits.com/listing/cell_phone_towerinstall/,8000000.0,8927055.0,1946908.0,Service,Sale Pending,,,all,"For sale is a California-based B2B wireless communications business with offices in both the Northern and Southern parts of the state. Specializing in modernizing and upgrading equipment at existing cell tower sites, they count major industry players such as Verizon, AT&T, T-Mobile and Ericsson as their clients.
The company has been servicing customers for 26 years and has extremely strong relationships within a niche industry. The project managers and admin staff essentially run the daily operations, making it a minimal effort turn-key operation for a new owner.",,4x,USD,
Southeast-Based Tourism Aviation Business,https://businessexits.com/listing/southeast_based_tourism_aviation_business/,8500000.0,4597262.0,1717367.0,Retail,,,,all,"For sale is a highly profitable aviation tourism business consisting of two entities, operating from two prime locations in the Southeast. With over 15 years of operating history, the company has built a strong reputation for safety, service, and customer experience, establishing a near-monopoly in a high-traffic tourist destination. A recent legal victory against local government authorities has secured long-term operational rights at the airport and its grandfathered helipad, protecting the business from new competitors and significantly enhancing its strategic value.
The company operates a fleet of four to five leased helicopters during peak season, generating over $14,000 per helicopter per day in gross revenue. The business achieves impressive margins thanks to lean operations, fixed-cost optimization, and ancillary revenue streams.
Staff retention is excellent, and the core management team is seasoned and largely self-sufficient, allowing the owner to operate the business passively. All helicopters are leased under a separate entity, allowing the buyer to avoid high capital expenditures and maintenance risks while benefiting from an efficient cost structure.
With highly defensible market positioning, a scalable operating model, and outstanding unit economics, the business offers an exceptional opportunity for investors seeking a lifestyle business, platform acquisition, or high-margin tourism asset.

",,4.9x,USD,
Arizona Addiction Treatment Center,https://businessexits.com/listing/az_addiction_treatment/,8000000.0,500839520232024.0,173152020232024.0,Service,Sale Pending,,,all,"Founded in 2016, this Arizona-based mental health and substance use disorder treatment facility has developed proprietary processes aimed to support long-term sobriety. They are a structured outpatient facility with a sober living program component (with almost 100% of patients choosing to stay in the licensed sober living housing while undergoing treatment), focusing on customized treatment plans and offering dual diagnosis (a program designed to treat those who have an addiction as well as any underlying psychological disorders).
The treatment center accepts most major health insurance plans. 20-25% of the patients are self-pay and the remainder use the benefits of health insurance; of the patients using insurance around 20-25% are typically in-network and the rest are out-of-network. The owners finalized a contract with TriWest (which services the V.A.) in August 2023 that opened up access to hundreds of thousands of potential patients. Bringing in only one patient a month from this contract equates to $115K per 45 days in revenue so the possibilities for scaling the business and growing profits are substantial.
Revenue and earnings declined in 2021 because the COVID-19 pandemic closed the facility for a large portion of the year and made patient travel to the facility difficult. Additionally, the facility used an ineffective billing agency, causing them to switch to a different billing agency at the end of 2022.
The business has added a new residential facility onsite –it provides a higher level of care than the other houses onsite and is projected to bring in millions in additional revenue in 2025 and beyond.
The owners have established a solid operational structure that allows the staff to essentially run the day-to-day. The duties of the three owners could easily be absorbed by one replacement. There are no licenses required for a buyer as the requisite requirements lie with the treatment center, the Clinical Director and the Medical Director.","$1,448,611",4.6x,USD,
Network Design and Systems Management Specialists,https://businessexits.com/listing/network_design_sysmgmt/,8000000.0,15258095.0,2550467.0,"Service, Software/SaaS",Sale Pending,,,all,"For sale is a 24-year-old woman-owned technology solutions company that offers networking and data center, unified communications, managed services, cyber security, cloud and virtualization services, and customized assessments.
The company serves in Government, Financial & Banking, Insurance, Healthcare, Legal and Real Estate, and Telecommunications industries. Recently the company was awarded a GSA contract, and 95% of its revenue comes from Government contracts. Additionally, they have several other contracts, one over 10 years old.
While many IT companies lack the fundamentals of acquiring human capital, they have over 50 full-time W2 employees and 30 Corp-to-Corp contractors, all of whom the owner believes will stay after the buyer takes possession except for the owner’s husband, who will need to be replaced as a Senior Engineer. The company aims to keep employees relevant and knowledgeable in the field. Nearly one-third of the employees are Cisco Certified Professionals.
The owner is open to rolling some equity and staying on for the right partner. The buyer should have knowledge of Government contracting.",,3.1x,USD,"$2,550,467"
B2B Transmission Repair Business with 100+ Auto Shop Partners,https://businessexits.com/listing/b2b_transmission_repair/,7000000.0,5439349.0,1438698.0,Service,,,,all,"This is a rare opportunity to acquire a highly efficient, specialty auto repair business in the Northeast with over $5.4M in annual sales and $500K+ in included inventory. The company has become a market leader by focusing exclusively on transmission and driveline repairs, avoiding general repair work and creating zero competition with its 100+ referring auto shop partners.
Operating from a purpose-built 20,000 sq ft facility with 15 service bays, the business is designed for high throughput.  An innovative white-label B2B model, in-house towing logistics, and streamlined systems have driven consistent growth without a dollar spent on advertising. Approximately 60% of revenue comes from partner shops, while the remainder is driven by repeat and referral-based retail clients.
Staffed with 19 full-time W2 employees, including experienced management in operations, office administration, and rebuild supervision, the business operates with minimal owner involvement (about 20 hours per week). Employees are long-tenured, cross-trained, and motivated to stay with the company under new ownership. Buyers should have general business acumen; no technical automotive skills are required.
Due to the sensitive nature of the business, we will be contacting you directly after NDA submission to qualify your organization before sharing the CIM and Financials.
",,4.86x,USD,
Sleek Products Ecommerce Business,https://businessexits.com/listing/sleek_products_ecommerce/,7000000.0,8864286.0,1973918.0,Ecommerce,,,,all,"A 3-year-old innovative e-commerce brand is for sale. The brand specializes in manufacturing high-quality consumer goods with excellent functionality, all offered at an affordable price within the mass market’s range. Additionally, the company has several potential product ideas in the works.
The products are currently available in over 40 countries. They are sold directly to consumers through the company website, Amazon, and various retailers. The average order value is approximately $100, and the products come with a warranty, with an overall return rate of less than 2%.
The business is efficiently operated by a small team of 8 local and international contractors, who are expected to remain with the new owner.
The ideal buyer, with general business skills and preferably some experience in technology, could leverage the brand’s potential for growth. While the seller would prefer a complete exit, they are open to considering a proposal that involves maintaining partial ownership through equity.","$1,973,918",3.5x,USD,
Category Defining Window Manufacturer,https://businessexits.com/listing/category_defining_window_manuf/,7000000.0,4895568.0,1539977.0,"Manufacturing, Retail",Sale Pending,,,all,"For sale is a 7-year-old specialty window manufacturing company that produces an innovative and scalable window whose unique function allows for blending indoor and outdoor spaces in a whole new way in both home and business settings. The solid steel windows are manufactured in the USA and sold directly to customers in standard sizes, which has enabled the founders to scale up the manufacturing process quickly. The windows are double-pane tempered low-E glass with argon gas, making them highly energy efficient and having a 2-year corner-to-corner warranty. Window prices start at $5,500 but vary based on size and are available for shipping across the United States. Traditionally the windows have been 75% residential, but that number is shifting as more commercial accounts buy these windows for their restaurants nationwide.
The business has grown almost every year since its inception, with demand scaling up as the manufacturing capabilities improve with minimal advertising. Because of this, they haven’t pursued any window dealer or supplier partnerships, which is the clear path for buyers to achieve even faster growth. Since mid 2023 the company elected to rebuild their inventory levels giving any new owner the ability to capitalize on the profits for 2024 and service any new sales that may arise from new marketing initiatives or distribution agreements. There are 17 employees, with 6 key employees to assist the buyer. While the current owner works 40 hours per week, many of his tasks can be delegated to middle management, requiring fewer hours from the new owner.
","$1,539,977",4.54x,USD,
USA-Made Battery Manufacturer with Government Contracts,https://businessexits.com/listing/battery_manufacturer/,6000000.0,376407720222024.0,152928320222024.0,Manufacturing,Sale Pending,,,all,"For sale is an nine-year-old battery company based in Idaho that specializes in manufacturing advanced lithium-ion batteries and other power technologies for Airsoft rifles and flight products (i.e., drone operators). The company produces 100% of its products in the U.S. and operates in both Idaho and Europe. Its products are distributed worldwide through a network of warehouses and distributor relationships. Overall, the business is composed of approximately 85-90% B2B (business-to-business) sales and 10-15% B2C (business-to-consumer) sales.
The company has experienced explosive revenue growth over the years, although there was a slight dip in net income in 2019 due to the shift in production back to the USA. This transition introduced challenges related to production inefficiencies and costs associated with building a production team and setting up new manufacturing stations.
In 2024, a reduction in sales occurred when the CEO temporarily stepped away from operations, delegating responsibilities to the team. However this led to several operational issues. The recovery efforts initiated in late 2024 and early 2025 have since brought substantial improvements, enhancing production rates and overall business efficiency.
The business has 13 W2 staff in the US, excluding the owner. They also have one full-time employee in Europe. The owner is confident they will stay with the business post-sale. General business acumen and people management skills would be helpful to a new owner.
This listing requires seller approval for the CIM. We appreciate your patience as we receive approval and we will send you the CIM as soon as possible.
","$811,611",3.9x,USD,
Montana Comprehensive Lawn Care Services,https://businessexits.com/listing/mt_comprehensive_lawn_care/,56000002.5,5256695.0,1305173.0,Service,Sale Pending,,,all,"For sale is a well-established full-service lawn care and landscaping company in Montana.  The company is a one-stop shop and offers lawn maintenance, landscaping, sprinkler system installation, lawn aeration, power raking, shrub trimming, hydro-seeding, fertilizer & weed control, snow removal, small engine repair, and Christmas lights installation.  Landscaping services are booked through the fall, with nearly 200 customers on a waitlist.  Additionally, the owner prioritizes keeping newer equipment and vehicles to prevent equipment failure and delays.
In 2023, the company had over 2K customers with an average revenue per customer of $2K.  The company experiences around 85% recurring revenue from 75% commercial and 25% residential customers by offering customers comprehensive contracts with year-round services.  Although the company charges more than most other companies in the area, it constantly turns away new customers seeking the highly rated umbrella of services.
2023 revenue was up but profits were a bit down for a few reasons. The price of materials increased dramatically (everything from equipment to sod to office supplies). Additionally, labor costs also shot up, as the growth in the area has caused wages to skyrocket. The owner has adjusted for these challenges by increasing his prices in 2024 (both hourly rates and contract prices) and expects that this year will again see margins above 30%.  Q1 is usually the slowest time of the year, and revenue starts to rise steadily beginning in April.

","$1,305,173",4.2x,USD,
Highly Profitable Engineering Firm with Long History (📍Ireland),https://businessexits.com/listing/engineering_firm_ireland/,5400000.0,7125792.0,4419847.0,"Manufacturing, Service",Sale Pending,,,all,"This company has been operating successfully for over 30 years and has recently entered a new, larger phase of its business with ongoing and new projects already booked for 2024 and beyond. Ireland is in the midst of an economic boom and this company is well-positioned to take full advantage over the next decade.
This business is an engineering company based in Ireland that specializes in serving the construction, energy, and wastewater sectors. They likely offer a range of engineering services and solutions tailored to the needs of these industries in Ireland. These services may include precision machining, steel fabrication, equipment manufacturing, or technology solutions designed to enhance efficiency and productivity within the construction, energy, and wastewater sectors. As a company focused on these areas, this business plays a crucial role in supporting infrastructure development, sustainable energy initiatives, and wastewater management in Ireland.
Facilities:
This business, based Ireland, operates within an expansive environment. With a sprawling 70,000 square feet of owned facilities, the company has demonstrated remarkable growth, having significantly expanded its footprint with major extensions since 2021, almost doubling its area. In 2023, the business further solidified its commitment to innovation and excellence by renovating and expanding its offices, adding an additional 35,000 square feet of space to facilitate its operations.
In a testament to their growth trajectory, the company also opened a second facility in 2022, similarly boasting 35,000 square feet. This substantial investment in infrastructure reflects the business’s dedication to delivering cutting-edge steel fabrication solutions while accommodating its expanding capabilities in the heart of Ireland.
Reason for Selling: The owner is retiring.","€ 4,419,847",1.53x,USD,
Automotive Parts Transportation Company,https://businessexits.com/listing/auto_parts_transport_co/,5300000.0,633349420232024.0,137945520232024.0,Service,Sale Pending,,,all,"Founded in 2007, this business is a well-established transportation company specializing in the dedicated transportation of automotive parts. Based in the Southeast, it transports parts from tier-one and tier-two suppliers to automotive manufacturing plants in the area. Given that this is a business in a niche space serving a very specific industry, they have no local competitors and dominate their market.
Over the years, the company has cultivated long-term relationships with recurring tier-one and tier-two suppliers. All customer relationships are transferable, with contracts that protect pricing and have 90-day termination clauses. The average ROI is $1,000 per truck per day.
The business employs 30 W2 employees, including a VP of Operations (who manages day-to-day operations), an office manager, two office staff members, one shop manager, three in-house mechanics, and 22 drivers. The current owner intends to retire, but his VP of operations would stay on, allowing a buyer to be as active or passive in the business as they desire.
","$1,442,422",3.8x,USD,
Canadian Business Coaching Franchiser,https://businessexits.com/listing/business_coaching_fanchiser/,5200000.0,192512720232024.0,87269920232024.0,Service,,,,all,"For sale is a business coaching franchiser acquired in 2018 by the current ownership group. It is currently one of the fastest-growing regions in the franchise global network. The company focuses on providing business coaching, leadership development, business planning, and executive training to entrepreneurs and organizations across Canada.
Revenue comes from franchise sales, royalties, training fees, and service-based income. The company also offers additional services such as marketing, bookkeeping, and virtual administrative support at a markup.
The business has a lean internal team supported by strong systems. The CEO oversees VPs of operations, recruitment, and marketing, with additional support from third-party service providers and a virtual administrative team. Two owners plan to exit, while the CEO (the third owner) will remain. The VP of Operations manages day-to-day support for franchisees and ensures that the business runs efficiently.
",,5.9x,USD,
Collision Repair Company,https://businessexits.com/listing/collision_repair_co/,4800000.0,22148512023.0,13013632023.0,Service,Sale Pending,,,all,"For sale is an 8-year-old collision repair center in Arizona, that services individual customers and is located in one of the fastest-growing cities in the state. They work 100% through insurance and offer towing, automotive glass replacement, motorcycle repair, painting, detailing, and paintless dent repair (only for collision-related repairs).
The business works with all insurance companies but is not in contract with any of them, giving them more pricing flexibility. They only use OEM parts (not used, salvaged or aftermarket) and focus more on increasing revenue per car versus bringing in more cars. They buy significant OEM parts from their leading supplier making them the fifth largest customer in the nation for purchasing those particular parts. Currently they have around $381,700 in FF&E.
50% of business is repeat customers, 20% are from Google reviews, and 30% are referrals. They work on three to five cars per week and have an average order value ranging from $13,000 to $15,000 per claim.
The owners’ roles will need to be replaced as they want to pursue other entrepreneurial ventures and have the flexibility to move out of state. Two full-time employees can manage the shop and are cross-trained in the owner’s responsibilities (except for Quickbooks and accounting). They hire subcontractors (there are three main ones they work with) to keep overhead low, and the owners are confident they will stay with the company post-sale.
There are no specific licenses or certifications needed to run the business. Prior experience in collision is helpful but not necessary and can be learned. It should be noted that the previous three years’ of financials have been audited by an accredited accounting firm.
","$872,209",3.6x,USD,
Jewelry and Accessories Wholesale and Ecommerce Business,https://businessexits.com/listing/jewelry_ecomm_co/,3700000.0,317062120232024.0,94172420232024.0,Ecommerce,,,,all,"Established in 2010, the business is a Los Angeles-based Wholesale and eCommerce accessories business that offers timeless, vintage-inspired statement jewelry and handbags.
The company has a cult following, does in-house social media, and has connections to major influencers and celebrities who showcase their products. Clients are 80% B2B (large wholesale stores) and 20% B2C; eCommerce revenue is 100% through the company’s website. The majority of the inventory is held in China by the supplier. Once they need it, it gets shipped directly to the consumer for large accounts (they keep very minimal inventory on hand for smaller orders).
There was a drop in revenue from 2020 to 2021/2022 as they were catering mainly to one big box store, so they were hit hard when the sales dropped off. They had to diversify and use this time to increase their sales with other big customers. They also changed their offerings this time and started developing bags, hats, etc. This was an expensive pivot; they needed time to gain their buyers’ trust, but by 2023, sales were climbing again.
The company has recently achieved several exciting new initiatives, such as launching a collection with major online fashion retailers, introducing a new premium line of handbags, securing subscription box programs, and signing new contracts.
While the business will experience slight increases in COGS due to foreign tariffs, they are well-prepared to handle these fluctuations. Since the tariffs only apply to retail goods (about 20% of their revenue) and not to the 80% wholesale side, they will not be hit as hard as competitors. Additionally, they already have extremely high markups and margins on products so adjusting those a bit to accommodate any increased tariffs will not do much to negatively impact the bottom line.
They have a staff of five, including an operations manager who they are confident will stay with the company post-sale. The majority owner is open to staying with the company in their current marketing and sales role for a few years.
","$1,190,873",3.9x,USD,
